Ticker,Log-Likelihood,AIC,BIC,MAE,RMSE,MAPE
META,-3041.20838210509,6090.41676421018,6110.9626970445415,9.13702751450515,9.256917605724794,144109.6822517387
AAPL,-2508.622735915772,5025.245471831544,5045.791404665905,2.393243833814722,2.4136000996049005,123789.423856662
AMZN,-2733.3991407783915,5474.798281556783,5495.344214391144,4.852307758275922,4.907852724295982,61127.430514784326
NFLX,-3052.4560491393704,6112.912098278741,6133.458031113102,5.111816652716665,5.117714684324587,99512.66756694485
GOOGL,-2622.4224270961085,5252.844854192217,5273.390787026578,3.8549935054607203,3.859517523580206,43277.97327042281
