index_,Open_AAPL,Open_AMZN,Open_GOOGL,Open_META,Open_NFLX,Open_^GSPC,Open_^VIX,Close_AAPL,Close_AMZN,Close_GOOGL,Close_META,Close_NFLX,Close_^GSPC,Close_^VIX,High_AAPL,High_AMZN,High_GOOGL,High_META,High_NFLX,High_^GSPC,High_^VIX,Low_AAPL,Low_AMZN,Low_GOOGL,Low_META,Low_NFLX,Low_^GSPC,Low_^VIX,Adj Close_AAPL,Adj Close_AMZN,Adj Close_GOOGL,Adj Close_META,Adj Close_NFLX,Adj Close_^GSPC,Adj Close_^VIX,Volume_AAPL,Volume_AMZN,Volume_GOOGL,Volume_META,Volume_NFLX,Volume_^GSPC,Volume_^VIX,Daily Turnover (USD)_META,Daily Turnover (USD)_AAPL,Daily Turnover (USD)_AMZN,Daily Turnover (USD)_NFLX,Daily Turnover (USD)_GOOGL,Returns_META,Returns_AAPL,Returns_AMZN,Returns_NFLX,Returns_GOOGL,Historical Volatility_META,Historical Volatility_AAPL,Historical Volatility_AMZN,Historical Volatility_NFLX,Historical Volatility_GOOGL,Realized Volatility_META,Realized Volatility_AAPL,Realized Volatility_AMZN,Realized Volatility_NFLX,Realized Volatility_GOOGL,Sharpe Ratio_0,Sortino Ratio_1,Max Drawdown_2,Technical Indicators_META_SMA50,Technical Indicators_META_RSI,Technical Indicators_META_MACD,Technical Indicators_AAPL_SMA50,Technical Indicators_AAPL_RSI,Technical Indicators_AAPL_MACD,Technical Indicators_AMZN_SMA50,Technical Indicators_AMZN_RSI,Technical Indicators_AMZN_MACD,Technical Indicators_NFLX_SMA50,Technical Indicators_NFLX_RSI,Technical Indicators_NFLX_MACD,Technical Indicators_GOOGL_SMA50,Technical Indicators_GOOGL_RSI,Technical Indicators_GOOGL_MACD
2020-01-02 00:00:00,74.05999755859375,93.75,67.42050170898438,206.75,326.1000061035156,3244.669921875,13.460000038146973,75.0875015258789,94.90049743652344,68.43399810791016,209.77999877929688,329.80999755859375,3257.85009765625,12.470000267028809,75.1500015258789,94.90049743652344,68.43399810791016,209.7899932861328,329.9800109863281,3258.139892578125,13.720000267028809,73.79750061035156,93.2074966430664,67.32450103759766,206.27000427246094,324.7799987792969,3235.530029296875,12.420000076293945,72.71607208251953,94.90049743652344,68.1083755493164,208.79592895507812,329.80999755859375,3257.85009765625,12.470000267028809,135480400.0,80580000.0,27278000.0,12077100.0,4485800.0,3459930000.0,0.0,2521649313.583374,9851602532.16858,7647082083.435059,1479461687.0483398,1857860268.234253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-03 00:00:00,74.2874984741211,93.2249984741211,67.4000015258789,207.2100067138672,326.7799987792969,3226.360107421875,15.010000228881836,74.35749816894531,93.74849700927734,68.07599639892578,208.6699981689453,325.8999938964844,3234.85009765625,14.020000457763672,75.1449966430664,94.30999755859375,68.6875,210.39999389648438,329.8599853515625,3246.14990234375,16.200000762939453,74.125,93.2249984741211,67.36599731445312,206.9499969482422,325.5299987792969,3222.340087890625,13.130000114440918,72.00911712646484,93.74849700927734,67.7520751953125,207.69114685058594,325.8999938964844,3234.85009765625,14.020000457763672,146322800.0,75288000.0,23408000.0,11188400.0,3806900.0,3484700000.0,0.0,2323731627.4230957,10536575643.47229,7058136842.834473,1240668686.7645264,1585940576.171875,-0.005291205197443638,-0.009722127939644776,-0.012139034655920922,-0.01185532182484772,-0.0052313735444462495,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-06 00:00:00,73.44750213623047,93.0,67.58149719238281,206.6999969482422,323.1199951171875,3217.550048828125,15.449999809265137,74.94999694824219,95.14399719238281,69.8905029296875,212.60000610351562,335.8299865722656,3246.280029296875,13.850000381469727,74.98999786376953,95.18450164794922,69.91600036621094,212.77999877929688,336.3599853515625,3246.840087890625,16.389999389648438,73.1875,93.0,67.55000305175781,206.52000427246094,321.20001220703125,3214.639892578125,13.539999961853027,72.5829086303711,95.14399719238281,69.55794525146484,211.60272216796875,335.8299865722656,3246.280029296875,13.850000381469727,118387200.0,81236000.0,46768000.0,17058900.0,5663100.0,3702460000.0,0.0,3609709677.191162,8592887320.605469,7729117755.92041,1901838796.9573975,3253085983.520508,0.018833616052959634,0.00796831744095039,0.01488557393050649,0.030469447259134697,0.026654092158010956,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-07 00:00:00,74.95999908447266,95.2249984741211,70.02300262451172,212.82000732421875,336.4700012207031,3241.860107421875,13.84000015258789,74.59750366210938,95.34300231933594,69.75550079345703,213.05999755859375,330.75,3237.179931640625,13.789999961853027,75.2249984741211,95.69450378417969,70.17500305175781,214.5800018310547,336.70001220703125,3244.909912109375,14.460000038146973,74.37000274658203,94.60199737548828,69.5780029296875,211.75,330.29998779296875,3232.429931640625,13.390000343322754,72.24153137207031,95.34300231933594,69.42359161376953,212.060546875,330.75,3237.179931640625,13.789999961853027,108872000.0,80898000.0,34330000.0,14912400.0,4703200.0,3435910000.0,0.0,3162331699.21875,7865080003.540039,7713058201.629639,1555583400.0,2383311900.100708,0.0021636049968574156,-0.004703273328976798,0.0020916204156393725,-0.015126661630534555,-0.0019315354588120837,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-08 00:00:00,74.29000091552734,94.9020004272461,69.74099731445312,213.0,331.489990234375,3238.590087890625,15.15999984741211,75.79750061035156,94.59850311279297,70.25199890136719,215.22000122070312,339.260009765625,3253.050048828125,13.449999809265137,76.11000061035156,95.55000305175781,70.59249877929688,216.24000549316406,342.70001220703125,3267.070068359375,15.239999771118164,74.29000091552734,94.3219985961914,69.63150024414062,212.61000061035156,331.04998779296875,3236.669921875,12.829999923706055,73.40362548828125,94.59850311279297,69.917724609375,214.21041870117188,339.260009765625,3253.050048828125,13.449999809265137,132079200.0,70160000.0,35314000.0,13475000.0,7104500.0,3726840000.0,0.0,2886485391.998291,9695092131.591797,6637030978.393555,2410272739.379883,2469074526.8554688,0.010138009440478823,0.01608623314234192,-0.007808640261289357,0.025729432397959107,0.007117652430812305,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-09 00:00:00,76.80999755859375,95.49449920654297,71.09649658203125,217.5399932861328,342.0,3266.030029296875,12.949999809265137,77.40750122070312,95.05249786376953,70.989501953125,218.3000030517578,335.6600036621094,3274.699951171875,12.539999961853027,77.60749816894531,95.89099884033203,71.43399810791016,218.3800048828125,343.4200134277344,3275.580078125,13.239999771118164,76.55000305175781,94.79000091552734,70.510498046875,216.27999877929688,334.6099853515625,3263.669921875,12.529999732971191,74.96279907226562,95.05249786376953,70.65171813964844,217.27598571777344,335.6600036621094,3274.699951171875,12.539999961853027,170108400.0,63346000.0,33200000.0,12642800.0,4709300.0,3641230000.0,0.0,2746976832.232666,12751801809.70459,6021195529.678345,1580723655.2459717,2345637042.236328,0.014311008004134873,0.021241097747049187,0.0047991747864684076,-0.01061134822817067,0.010497960772811288,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-10 00:00:00,77.6500015258789,95.26850128173828,71.47350311279297,219.1999969482422,337.1300048828125,3281.81005859375,12.420000076293945,77.5824966430664,94.15799713134766,71.447998046875,218.05999755859375,329.04998779296875,3265.35009765625,12.5600004196167,78.1675033569336,95.34700012207031,71.74700164794922,219.8800048828125,338.5,3282.989990234375,12.869999885559082,77.0625,94.0,70.9800033569336,217.4199981689453,327.2699890136719,3260.860107421875,12.09000015258789,75.13227081298828,94.15799713134766,71.10802459716797,217.03709411621094,329.04998779296875,3265.35009765625,12.5600004196167,140644800.0,57074000.0,26258000.0,12119400.0,4718300.0,3214580000.0,0.0,2630359358.432007,10566963202.038574,5373973528.274536,1552556557.4035645,1867154509.8724365,-0.0010994846060567998,0.0022607445669056148,-0.009410596802031268,-0.01969259309129534,0.0064585330623894155,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-13 00:00:00,77.91000366210938,94.56549835205078,71.76249694824219,219.60000610351562,331.79998779296875,3271.1298828125,12.84000015258789,79.23999786376953,94.56500244140625,72.00150299072266,221.91000366210938,338.9200134277344,3288.1298828125,12.319999694824219,79.26750183105469,94.9000015258789,72.0739974975586,221.97000122070312,340.8500061035156,3288.1298828125,13.09000015258789,77.7874984741211,94.04000091552734,71.26850128173828,219.2100067138672,331.510009765625,3268.429931640625,12.319999694824219,76.7374267578125,94.56500244140625,71.65889739990234,220.86904907226562,338.9200134277344,3288.1298828125,12.319999694824219,121532000.0,55616000.0,30730000.0,14463400.0,6290000.0,3459390000.0,0.0,3194517404.3518066,9326052948.730469,5259327175.78125,2131806884.4604492,2202077917.098999,0.017655760512545804,0.02136440077552848,0.004322578245699482,0.029995520440425194,0.007746985039383425,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-14 00:00:00,79.17500305175781,94.29399871826172,72.0,221.61000061035156,344.3999938964844,3285.35009765625,12.720000267028809,78.16999816894531,93.47200012207031,71.52950286865234,219.05999755859375,338.69000244140625,3283.14990234375,12.390000343322754,79.39250183105469,94.35549926757812,72.13150024414062,222.3800048828125,345.3800048828125,3294.25,13.819999694824219,78.0425033569336,92.92749786376953,71.38849639892578,218.6300048828125,335.5199890136719,3277.18994140625,12.050000190734863,75.70121765136719,93.47200012207031,71.18914794921875,218.03240966796875,338.69000244140625,3283.14990234375,12.390000343322754,161954400.0,68818000.0,26076000.0,13288900.0,7199400.0,3687620000.0,0.0,2897410888.83667,12260145283.996582,6432556104.400635,2438364803.57666,1856328221.9238281,-0.012843082433739994,-0.01350330797142374,-0.011558211718052602,-0.0006786586132870864,-0.00655535415319175,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-15 00:00:00,77.9625015258789,93.61250305175781,71.6510009765625,220.61000061035156,338.67999267578125,3282.27001953125,12.789999961853027,77.83499908447266,93.10099792480469,71.95999908447266,221.14999389648438,339.07000732421875,3289.2900390625,12.420000076293945,78.875,93.94300079345703,72.03900146484375,221.67999267578125,343.1700134277344,3298.659912109375,12.829999923706055,77.38749694824219,92.75450134277344,71.58300018310547,220.13999938964844,336.6000061035156,3280.68994140625,11.949999809265137,75.37679290771484,93.10099792480469,71.61759948730469,220.1125946044922,339.07000732421875,3289.2900390625,12.420000076293945,121923600.0,57932000.0,21550000.0,10036500.0,5158000.0,3721490000.0,0.0,2209160055.747986,9190209947.763062,5393527011.779785,1748923097.7783203,1543359268.951416,0.009540714335502853,-0.004285594785891633,-0.003969126548924895,0.00112198435168831,0.00601849509972463,,,,,,,,,,,,,,,,,,,,,,,,,,,,
