Date,META_signal,META_returns,META_cumulative,AAPL_signal,AAPL_returns,AAPL_cumulative,AMZN_signal,AMZN_returns,AMZN_cumulative,NFLX_signal,NFLX_returns,NFLX_cumulative,GOOGL_signal,GOOGL_returns,GOOGL_cumulative
2020-01-03,-1,0.005291350970585307,1.0052913509705852,-1,0.00972171029832114,1.0097217102983211,-1,0.012139034655920922,1.012139034655921,-1,0.01185532182484772,1.0118553218248478,-1,0.0052313735444462495,1.0052313735444462
2020-01-06,-1,-0.01883361743664036,0.9863580782540419,-1,-0.007967891950960704,1.0016763568101248,-1,-0.01488557393050649,0.9970727642275987,-1,-0.030469447259134697,0.9810246494626309,-1,-0.026654092158010956,0.9784378438738687
2020-01-07,-1,-0.00216367726343325,0.9842239177065198,-1,0.00470274875349308,1.006386989048517,-1,-0.0020916204156393725,0.9949872664780622,-1,0.015126661630534555,0.9958642773862659,-1,0.0019315354588120837,0.9803277312635547
2020-01-08,-1,-0.010138009440478823,0.9742458463372661,-1,-0.01608622804576476,0.9901980184403921,-1,0.007808640261289357,1.0027567641065531,-1,-0.025729432397959107,0.9702412547837136,-1,-0.007117652430812305,0.973350099204134
2020-01-09,-1,-0.014311008004134873,0.9603034062323383,-1,-0.02124067537365293,0.9691655437750654,-1,-0.0047991747864684076,0.9979443591272923,-1,0.01061134822817067,0.9805368226035608,-1,-0.010497960772811288,0.963131908044477
2020-01-10,-1,0.001099554833739802,0.9613593124845179,-1,-0.002260846572747388,0.9669744091769966,-1,0.009410596802031268,1.0073356111219007,-1,0.01969259309129534,0.9998461352621243,-1,-0.0064585330623894155,0.9569114887729295
2020-01-13,-1,-0.017655761753833765,0.9443857815034619,-1,-0.02136440077552848,0.9463155803596593,-1,-0.004322578245699482,1.002981324123147,-1,-0.029995520440425194,0.9698552300745891,-1,-0.007746985039383425,0.9494983097853915
2020-01-14,-1,0.01284301423577261,0.9565145415393722,-1,0.01350360623766167,0.9590942533334005,-1,0.011558211718052602,1.014573994616615,-1,0.0006786586132870864,0.9705134306801209,-1,0.00655535415319175,0.9557226074738917
2020-01-15,-1,-0.009540644351462069,0.9473887764815433,-1,0.004284991383556314,0.9632039639449524,-1,0.003969126548924895,1.0186009671944964,-1,-0.00112198435168831,0.9694245297977945,-1,-0.006018602270476681,0.9499704932186035
2020-01-16,-1,-0.0028036855807069827,0.9447325962295984,-1,-0.01252617717583071,0.9511387004361155,-1,-0.00854991102959346,1.0098920195503256,-1,0.0013271955564060356,0.9707111457260131,-1,-0.0076153744786842115,0.9427361121690435
2020-01-17,-1,-0.0016683554842882309,0.9431564464214929,-1,-0.011071174161642272,0.9406084782317091,-1,0.00703966144232826,1.017001317461269,-1,-0.0031008750980092703,0.9677010917068712,-1,-0.0202459172120375,0.9236495548892709
2020-01-21,-1,0.0031511656828533408,0.9461284886490182,-1,0.006777040460646977,0.9469830199463128,-1,-0.014629525206926841,1.0021230710519917,-1,0.004592775383464254,0.972145525459414,-1,-0.001845276177958155,0.921945166368852
2020-01-22,-1,0.0005418778007750813,0.946641174673698,-1,-0.0035695685101524433,0.9436026991786635,-1,0.0023995494624704516,1.0045277149284637,-1,0.03581670425666572,1.0069645742392348,-1,-0.0010926934863406679,0.9209377628907975
2020-01-23,-1,0.007048646306219597,0.9533137134928772,-1,-0.004815599411641669,0.9390586865756752,-1,0.0015259112256781338,1.0060605350451777,-1,-0.07239265675925033,0.9340677334476092,-1,-0.0005526730249378886,0.9204287854316011
2020-01-24,-1,0.008281761261816789,0.9612088300756413,-1,0.002881790613376345,0.9417648570840585,-1,0.012172426638861644,1.018306733102269,-1,-0.0101830592003469,0.9245560664207784,-1,0.012473866055829896,0.9319100908150051
2020-01-27,-1,0.01408639443283144,0.9747487967884073,-1,0.02940500647116262,0.9694574588009288,-1,0.01788746376771211,1.0365216578950533,-1,0.029108615564327645,0.9514686135258877,-1,0.023489873231878122,0.9538005407117575
2020-01-28,-1,-0.01358957994501142,0.9615023700881475,-1,-0.028289011732824276,0.9420324653744353,-1,-0.01362436592451366,1.0223997075392075,-1,-0.016448856890290076,0.9358180424663977,-1,-0.013110147318490029,0.9412960751105709
2020-01-29,-1,-0.024978157319670125,0.9374858126248501,-1,-0.020932336847300892,0.9223135244881243,-1,-0.0025630978623367717,1.01977919703436,-1,0.015379276714461931,0.9502102470958743,-1,-0.004274283921618993,0.9372727084312428
2020-01-30,-1,0.061371577109362474,0.9950207954632894,-1,0.0014491391977141665,0.923650085169042,-1,-0.006824489189870775,1.0128197249281439,-1,-0.013346504614142773,0.9375282616486035,-1,0.0016817868556447957,0.938849001352437
2020-01-31,-1,0.03636712177822399,1.0312068379037682,-1,0.044338442730954775,0.9646032915737511,-1,-0.07379135586484753,0.9380823841790342,-1,0.007620618769495824,0.9446728071162556,-1,0.014763592850986718,0.95270978575696
2020-02-03,-1,-0.011292147189020607,1.0195622985078343,-1,0.0027463627035514415,0.9672524420774521,-1,0.0022501685803328897,0.9401932276856777,-1,-0.037410541595267466,0.9093320857717148,-1,-0.03477147439179662,0.9195826618386977
2020-02-04,-1,-0.027621243118114425,0.9914007203866859,-1,-0.03301352235443833,0.9353200319585431,-1,-0.022687342140775613,0.9188627422507326,-1,-0.030754217222416225,0.8813662892785786,-1,0.025084344737689834,0.9426497903430621
2020-02-05,-1,-0.0013344134893247261,0.9900777818920756,-1,-0.008154492991423457,0.9276929713131992,-1,0.004781236737139594,0.9232560425503706,-1,-0.001788579292276049,0.8797898957846648,-1,-0.0004427441823267042,0.9422324376324162
2020-02-06,-1,-0.0035219540413051753,0.9865907734469344,-1,-0.011696750322113036,0.9168419782521695,-1,-0.0050787328892443195,0.9185670717218766,-1,0.007357916849901169,0.8862633166832316,-1,-0.020690879943679574,0.9227368193863232
2020-02-07,-1,-0.007019259538246558,0.9796656367500709,-1,0.013592346843605885,0.9293040124213507,-1,-0.014169136390608683,0.9055517695987273,-1,0.0004905932344206887,0.8866981114703116,-1,-0.0021274781235187668,0.9207737169893135
2020-02-10,-1,-0.003437982311026433,0.9762975636202037,-1,-0.004749081329196603,0.924890672086813,-1,-0.026273579599096486,0.8817596830990725,-1,-0.011724018974700101,0.876302445986603,-1,-0.019978290460863413,0.9023782322225722
2020-02-11,-1,0.027550872093023204,1.0031954129202343,-1,0.0060328527667733445,0.9304704013368749,-1,-0.007915025985726132,0.8747805322941777,-1,-0.007060649110609107,0.8701151819007231,-1,-0.0009279367811945161,0.9015408822703436
2020-02-12,-1,-0.017230559681307156,0.9859097944858987,-1,-0.02374739740434384,0.9083741509433488,-1,-0.004277469597884664,0.8710386851624681,-1,-0.016912433522247472,0.8553994167301289,-1,-0.005675259646910957,0.8964244036811542
2020-02-13,-1,-0.011292464307341543,0.9747764433214082,-1,0.007121062872968431,0.9148427403843956,-1,0.00468981707537619,0.8751236972614562,-1,-0.0036577566251916327,0.8522705738463991,-1,0.0034504314831352856,0.8995174546658665
2020-02-14,-1,-0.004879370147881534,0.9700201482430076,-1,-0.0002463806908761246,0.9146173407979767,-1,0.006977166077050345,0.8812295806352117,-1,0.002621919286845631,0.8545051585015782,-1,-0.00352832920725743,0.8963436609581311
2020-02-18,-1,-0.016901783280613314,0.953625077919576,-1,0.0183104963280325,0.9313644382582129,-1,-0.009742990607446878,0.8726437691080785,-1,-0.01940064406210462,0.8379272080722567,-1,-0.00046760535682710547,0.895924525860709
2020-02-19,-1,0.0014234043803718066,0.9549824720327191,-1,-0.01448276555334016,0.9178757054542008,-1,-0.006749650094826309,0.8667537290091686,-1,0.00410025360486832,0.8413629221277723,-1,-0.0035736120594676013,0.8927228391707204
2020-02-20,-1,0.01337998499002191,0.9677601231742511,-1,0.010259045139895728,0.9272922337492692,-1,0.007888626914309249,0.8735912258039082,-1,0.0004919921287581674,0.841776866062888,-1,0.005167589213456836,0.8973360640850255
2020-02-21,-1,0.02050512165433871,0.9876041622321569,-1,0.02263502285674912,0.9482815146550698,-1,0.026533823330561868,0.8967709410525181,-1,0.01536267532585811,0.8547088107530304,-1,0.022103017239680334,0.9171698985792838
2020-02-24,-1,0.045009016216351894,1.0320552539854007,-1,0.047500272906386254,0.993325145393267,-1,0.04135555023463999,0.9338573967541808,-1,0.02991552845023182,0.8802778764977766,-1,0.042872775468222435,0.9564915177072858
2020-02-25,-1,0.019679087856726007,1.0523651600015749,-1,0.0338724613287783,1.0269715129675037,-1,0.018190498951138112,0.9508447287503503,-1,0.023352361226139484,0.9008344434491317,-1,0.023622064248922214,0.9790858217921165
2020-02-26,-1,-0.0021851919606252768,1.0500655401142973,-1,-0.01586403428695271,1.0106796016740636,-1,-0.003472315416060967,0.9475430959404302,-1,-0.05318113274803382,0.8529270473280622,-1,-0.0029935338430346903,0.9761548952493463
2020-02-27,-1,0.03777883593153275,1.0897357938716317,-1,0.0653682663931745,1.0767459751144413,-1,0.048136265467272676,0.9931542819483,-1,0.019855497767108488,0.8698623384117911,-1,0.054312474804900646,1.0291722834032568
2020-02-28,-1,-0.014334672120491998,1.0741147885685178,-1,0.0005852711436384883,1.0773761634627046,-1,0.0002918467224900523,0.9934441307704137,-1,0.007209902174784899,0.8761339607772697,-1,-0.01847982172997109,1.0101533630765374
2020-03-02,-1,-0.020626553969100403,1.0519595019131005,-1,-0.09310099228891877,0.9770713735758985,-1,-0.03726611425327642,0.9564223282888766,-1,-0.032571847962042266,0.8475966586124506,-1,-0.035146403374780144,0.9746501055074587
2020-03-03,-1,0.053706082849169556,1.1084561260768167,-1,0.03175952552196415,1.0081026968017628,-1,0.023009811402324054,0.9784294256837753,-1,0.03222673972625556,0.8749119355223979,-1,0.03505679397701167,1.0088182134559063
2020-03-04,-1,-0.03157792124409875,1.0734533858250241,-1,-0.04638506143556986,0.9613417912772494,-1,-0.03501322901563819,0.94417145212667,-1,-0.040730048482044756,0.839276729971051,-1,-0.032802237481529106,0.9757267188424337
2020-03-05,-1,0.03436592797447313,1.1103436075662412,-1,0.03243709425593877,0.9925249255730827,-1,0.026216794314283476,0.9689246008844933,-1,0.02868758831780871,0.8633535552851773,-1,0.04837887060927015,1.0229312755233193
